タスクプロフィールコード,タスクプロフィール種別,タスクプロフィールグループ,タスクプロフィール,タスクプロフィールの説明
A-010-010,ビジネスタイプ別,-,自社向け情報システム開発・保守・運用,自社向けシステムの開発・保守・運用を担う部門（IT/非IT企業の情報システム部門）に関連するタスク
A-010-020,ビジネスタイプ別,-,システム受託開発,アプリケーションシステムおよび基盤システムの受託開発を担う企業に関連するタスク
A-010-030,ビジネスタイプ別,-,ソフトウェア製品開発,ソフトウェア製品の企画・開発・販売を担う企業に関連するタスク
A-010-040,ビジネスタイプ別,-,組込みソフトウェア開発,組込みソフトウェアの開発を担う企業に関連するタスク
A-010-050,ビジネスタイプ別,-,Webサイト構築・運用,顧客のWebサイトの構築および運用を担う企業に関連するタスク
A-010-060,ビジネスタイプ別,-,システム運用サービス（運用業務受託）,顧客のシステム運用業務を受託して実施する企業に関連するタスク
A-010-070,ビジネスタイプ別,-,システム運用サービス（データセンタ運営）,自社のデータセンタ施設を持ち、顧客のシステム運用業務を受託して実施する企業に関連するタスク
A-010-080,ビジネスタイプ別,-,ITコンサルティング,ITコンサルティング（戦略、企画）を担う企業に関連するタスク
B-010-010,開発対象別,-,アプリケーションシステム,アプリケーションシステム開発に関連するタスク
B-010-020,開発対象別,-,基盤システム,プラットフォーム、ネットワーク、データベース等の基盤システム（インフラ）構築に関連するタスク
B-010-030,開発対象別,-,ソフトウェア製品,製品として販売されるソフトウェア（組込みソフトウェアを除く）に関連するタスク
B-010-040,開発対象別,-,組込みソフトウェア,自動車、家電製品、各種機械等に組み込まれるソフトウェアの開発に関連するタスク
B-010-050,開発対象別,-,Webサイト,企業ホームページ、EC等のWebサイト開発に関連するタスク
C-010-010,開発手法別,-,ウォーターフォール,ウォーターフォール型の開発に関連するタスク
C-010-020,開発手法別,-,アジャイル,アジャイル型の開発に関連するタスク
C-010-030,開発手法別,-,パッケージ利用,アプリケーションシステムの開発において、ERPパッケージ（部品としてのパッケージは除く）を適用する場合に関連するタスク
D-010-010,新ビジネス別,クラウドビジネス,クラウドビジネスクリエイト,クラウドサービスの価値を活かして、社内外、業界外等幅広いプレーヤーやステークホルダと協業し、新ビジネスの創造や既存ビジネスの付加価値向上等に寄与する人材に必要なタスク
