"タスク大分類コード","タスク大分類","タスク中分類コード","タスク中分類","タスク小分類コード","タスク小分類","評価項目コード","評価項目"
"ST01","事業戦略策定","ST01.1","事業環境の分析","ST01.1.1","経営方針の確認","ST01.1.1.1","自社の基本理念・ビジョン・方針を理解する"
"ST01","事業戦略策定","ST01.1","事業環境の分析","ST01.1.1","経営方針の確認","ST01.1.1.2","新たな事業計画を立案するにあたり、経営方針や経営陣の思いを確認、共有する"
"ST01","事業戦略策定","ST01.1","事業環境の分析","ST01.1.1","経営方針の確認","ST01.1.1.3","事業で達成すべき目標を定めるために、企業目標を把握する"
"ST01","事業戦略策定","ST01.1","事業環境の分析","ST01.1.2","外部環境の分析","ST01.1.2.1","マクロ環境（自社を取り巻く産業や業界）の変化の要因を調査、把握する"
"ST01","事業戦略策定","ST01.1","事業環境の分析","ST01.1.2","外部環境の分析","ST01.1.2.2","自社が所属する業界や自社製品・サービスの市場規模および今後の見通しを調査、把握する"
"ST01","事業戦略策定","ST01.1","事業環境の分析","ST01.1.2","外部環境の分析","ST01.1.2.3","競合他社の市場シェア、収益性、動向を調査、把握する"
"ST01","事業戦略策定","ST01.1","事業環境の分析","ST01.1.3","内部環境の分析","ST01.1.3.1","自社の組織体制、現状人員数、配置状況を把握する"
"ST01","事業戦略策定","ST01.1","事業環境の分析","ST01.1.3","内部環境の分析","ST01.1.3.2","自社の収益性、安全性、生産性等の財務状況を把握する"
"ST01","事業戦略策定","ST01.1","事業環境の分析","ST01.1.3","内部環境の分析","ST01.1.3.3","自社の製品やサービスの売上高、利益率、ライフサイクル上のポジションを把握する"
"ST01","事業戦略策定","ST01.1","事業環境の分析","ST01.1.3","内部環境の分析","ST01.1.3.4","調達、生産、物流、サービス等の自社業務の一連の流れを把握する"
"ST01","事業戦略策定","ST01.1","事業環境の分析","ST01.1.3","内部環境の分析","ST01.1.3.5","事業管理のために必要な情報が自社内のどこに、誰によって、どのように管理されているか把握する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.1","基本構想の策定","ST01.2.1.1","事業環境分析の結果をもとに、自社の強み･弱み、市場の機会・脅威を整理し、分析する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.1","基本構想の策定","ST01.2.1.2","基本理念やビジョン等の自社の思いや自社が置かれている環境をもとに、企業として取り組む範囲（事業領域）を設定する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.1","基本構想の策定","ST01.2.1.3","事業領域のイメージをより具体化し、ビッグピクチャーを描く"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.1","基本構想の策定","ST01.2.1.4","分析の結果をもとに、成功のために重要な要因を設定し、事業に対する戦略指針を策定する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.1","基本構想の策定","ST01.2.1.5","ターゲットとする顧客（国内・国外、業種・業態、規模、企業形態等）を設定する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.1","基本構想の策定","ST01.2.1.6","事業戦略の具体的な項目を策定する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.1","基本構想の策定","ST01.2.1.7","事業戦略が競合他社に対して優位性があることを検証する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.1","基本構想の策定","ST01.2.1.8","分析結果と事業戦略の整合性を検証する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.2","アクションプランの策定","ST01.2.2.1","事業戦略指針に即した具体的なアクション（施策）を洗い出す"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.2","アクションプランの策定","ST01.2.2.2","アクション（施策）の実施スケジュールを策定する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.2","アクションプランの策定","ST01.2.2.3","アクションプランの実現性や実効性を検証する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.3","売上計画の策定","ST01.2.3.1","過去の年、月毎の売上実績を確認する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.3","売上計画の策定","ST01.2.3.2","自社が該当する市場の動向（他社の動向、環境等の影響）を確認する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.3","売上計画の策定","ST01.2.3.3","過去のトレンド、市場の動向、自社がとる施策（販促活動等）を考慮して売上計画を策定する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.3","売上計画の策定","ST01.2.3.4","自社がとる施策（販促活動等）の市場への効果、影響を予測し、計画の妥当性を判断する"
"ST01","事業戦略策定","ST01.2","事業戦略の策定","ST01.2.3","売上計画の策定","ST01.2.3.5","決算期にあわせて実施施策（販売施策、実行計画等）に対する売上予測を立てる"
